year    wp      ptmin   ptmax   sf      sflow   sfhigh
2016	mp	200	300	0.99	0.04	0.04
2016	mp	300	400	1.00	0.06	0.06
2016	mp	400	500	0.97	0.03	0.03
2016	mp	500	600	0.91	0.05	0.05
2016	mp	600	Inf	0.95	0.04	0.04
2016	hp	200	300	0.91	0.03	0.04
2016	hp	300	400	0.99	0.03	0.03
2016	hp	400	500	1.00	0.03	0.03
2016	hp	500	600	0.95	0.04	0.03
2016	hp	600	Inf	0.95	0.04	0.05
2017    mp	200	300	1.05	0.04	0.04
2017    mp	300	400	1.05	0.02	0.02
2017    mp	400	500	1.01	0.03	0.03
2017    mp	500	600	1.06	0.03	0.03
2017    mp	600	Inf	1.13	0.05	0.05
2017    hp	200	300	0.91	0.04	0.03
2017    hp	300	400	0.94	0.02	0.02
2017    hp	400	500	0.90	0.02	0.03
2017    hp	500	600	1.03	0.03	0.04
2017    hp	600	Inf	1.36	0.07	0.07
2018	mp	200	300	0.91	0.12	0.12
2018	mp	300	400	1.20	0.15	0.15
2018	mp	400	500	1.05	0.09	0.09
2018	mp	500	600	0.93	0.10	0.10
2018	mp	600	Inf	1.05	0.12	0.12
2018	hp	200	300	0.97	0.12	0.12
2018	hp	300	400	0.85	0.07	0.07
2018	hp	400	500	1.04	0.09	0.09
2018	hp	500	600	1.03	0.08	0.08
2018	hp	600	Inf	1.03	0.09	0.09
